23/05/2018 08:37:16 am - IMG CRON - Image: 5551, Task: 2, Done
23/05/2018 08:37:54 am - IMG CRON - Image: 5550, Task: 1, Done
23/05/2018 10:26:46 am - IMG CRON - Image: 5559, Task: 6, Done
23/05/2018 10:26:47 am - IMG CRON - Image: 5558, Task: 5, Done
23/05/2018 10:26:49 am - IMG CRON - Image: 5557, Task: 4, Done
23/05/2018 10:26:49 am - IMG CRON - Image: 5556, Task: 3, Fail, 0
23/05/2018 11:21:51 am - IMG CRON - Image: 5571, Task: 7, Done
23/05/2018 11:56:37 am - IMG CRON - Image: 5572, Task: 8, Done
23/05/2018 12:02:25 pm - IMG CRON - Image: 5573, Task: 9, Done
23/05/2018 05:06:32 pm - IMG CRON - Image: 5582, Task: 10, Done
23/05/2018 05:12:16 pm - IMG CRON - Image: 5585, Task: 13, Done
23/05/2018 05:12:22 pm - IMG CRON - Image: 5584, Task: 12, Done
23/05/2018 05:12:26 pm - IMG CRON - Image: 5583, Task: 11, Done
23/05/2018 05:22:47 pm - IMG CRON - Image: 5586, Task: 14, Done
23/05/2018 05:27:49 pm - IMG CRON - Image: 5587, Task: 15, Done
24/05/2018 07:21:43 am - IMG CRON - Image: 5594, Task: 16, Done
24/05/2018 08:18:12 am - IMG CRON - Image: 5604, Task: 17, Done
24/05/2018 08:22:11 am - IMG CRON - Image: 5605, Task: 18, Done
24/05/2018 08:26:34 am - IMG CRON - Image: 5606, Task: 19, Done
24/05/2018 08:41:43 am - IMG CRON - Image: 5607, Task: 20, Done
24/05/2018 08:52:34 am - IMG CRON - Image: 5609, Task: 21, Done
24/05/2018 09:01:36 am - IMG CRON - Image: 5622, Task: 22, Done
24/05/2018 11:16:39 am - IMG CRON - Image: 5632, Task: 23, Done
25/05/2018 08:11:28 am - IMG CRON - Image: 5645, Task: 24, Done
25/05/2018 08:16:49 am - IMG CRON - Image: 5646, Task: 25, Done
25/05/2018 08:31:43 am - IMG CRON - Image: 5647, Task: 26, Done
25/05/2018 09:21:51 am - IMG CRON - Image: 5650, Task: 27, Done
25/05/2018 11:01:57 am - IMG CRON - Image: 5657, Task: 28, Done
29/05/2018 08:26:44 am - IMG CRON - Image: 5704, Task: 29, Done
29/05/2018 08:31:39 am - IMG CRON - Image: 5705, Task: 30, Done
29/05/2018 08:51:46 am - IMG CRON - Image: 5708, Task: 32, Done
29/05/2018 08:51:49 am - IMG CRON - Image: 5707, Task: 31, Done
29/05/2018 08:56:33 am - IMG CRON - Image: 5709, Task: 33, Done
29/05/2018 09:02:23 am - IMG CRON - Image: 5710, Task: 34, Done
29/05/2018 02:21:47 pm - IMG CRON - Image: 5714, Task: 35, Done
29/05/2018 02:36:29 pm - IMG CRON - Image: 5715, Task: 36, Done
29/05/2018 02:46:48 pm - IMG CRON - Image: 5717, Task: 37, Done
29/05/2018 03:21:54 pm - IMG CRON - Image: 5718, Task: 38, Done
29/05/2018 03:26:56 pm - IMG CRON - Image: 5720, Task: 39, Done
29/05/2018 05:16:40 pm - IMG CRON - Image: 5731, Task: 40, Done
29/05/2018 05:21:56 pm - IMG CRON - Image: 5732, Task: 41, Done
30/05/2018 08:52:02 am - IMG CRON - Image: 5735, Task: 42, Done
30/05/2018 09:12:13 am - IMG CRON - Image: 5737, Task: 43, Done
30/05/2018 09:18:12 am - IMG CRON - Image: 5738, Task: 44, Done
30/05/2018 09:38:00 am - IMG CRON - Image: 5741, Task: 46, Done
30/05/2018 09:38:00 am - IMG CRON - Image: 5739, Task: 45, Done
30/05/2018 09:48:14 am - IMG CRON - Image: 5743, Task: 47, Done
30/05/2018 10:01:45 am - IMG CRON - Image: 5745, Task: 48, Fail, 0
30/05/2018 10:06:45 am - IMG CRON - Image: 5746, Task: 49, Done
31/05/2018 11:13:13 am - IMG CRON - Image: 5779, Task: 50, Done
31/05/2018 11:37:33 am - IMG CRON - Image: 5781, Task: 51, Done
31/05/2018 11:56:51 am - IMG CRON - Image: 5784, Task: 53, Done
31/05/2018 11:56:53 am - IMG CRON - Image: 5783, Task: 52, Done
31/05/2018 02:42:06 pm - IMG CRON - Image: 5796, Task: 54, Done
31/05/2018 02:52:01 pm - IMG CRON - Image: 5799, Task: 55, Done
31/05/2018 02:56:43 pm - IMG CRON - Image: 5801, Task: 56, Done
31/05/2018 04:01:57 pm - IMG CRON - Image: 5811, Task: 57, Done
31/05/2018 04:51:30 pm - IMG CRON - Image: 5814, Task: 58, Done
31/05/2018 04:56:41 pm - IMG CRON - Image: 5816, Task: 59, Done
31/05/2018 05:01:44 pm - IMG CRON - Image: 5820, Task: 61, Done
31/05/2018 05:01:45 pm - IMG CRON - Image: 5818, Task: 60, Done
31/05/2018 05:36:41 pm - IMG CRON - Image: 5829, Task: 63, Done
31/05/2018 05:36:42 pm - IMG CRON - Image: 5827, Task: 62, Done
31/05/2018 05:41:40 pm - IMG CRON - Image: 5832, Task: 64, Done
31/05/2018 05:46:34 pm - IMG CRON - Image: 5836, Task: 65, Done
31/05/2018 06:01:50 pm - IMG CRON - Image: 5844, Task: 66, Done
01/06/2018 08:56:59 am - IMG CRON - Image: 5861, Task: 67, Done
02/06/2018 03:07:07 pm - IMG CRON - Image: 5872, Task: 68, Done
02/06/2018 03:11:36 pm - IMG CRON - Image: 5874, Task: 69, Done
02/06/2018 03:21:58 pm - IMG CRON - Image: 5880, Task: 70, Done
02/06/2018 04:42:15 pm - IMG CRON - Image: 5884, Task: 71, Done
02/06/2018 05:41:50 pm - IMG CRON - Image: 5888, Task: 72, Done
02/06/2018 06:17:01 pm - IMG CRON - Image: 5894, Task: 73, Done
02/06/2018 06:21:59 pm - IMG CRON - Image: 5895, Task: 74, Done
07/06/2018 10:12:12 am - IMG CRON - Image: 5961, Task: 75, Done
07/06/2018 10:22:36 am - IMG CRON - Image: 5963, Task: 76, Done
07/06/2018 02:48:16 pm - IMG CRON - Image: 6011, Task: 77, Done
07/06/2018 05:06:37 pm - IMG CRON - Image: 6023, Task: 78, Done
11/06/2018 03:43:23 pm - IMG CRON - Image: 6029, Task: 79, Done
11/06/2018 04:13:01 pm - IMG CRON - Image: 6031, Task: 80, Done
11/06/2018 04:31:46 pm - IMG CRON - Image: 6033, Task: 81, Done
11/06/2018 04:42:33 pm - IMG CRON - Image: 6035, Task: 82, Done
11/06/2018 04:46:43 pm - IMG CRON - Image: 6036, Task: 83, Done
11/06/2018 04:52:41 pm - IMG CRON - Image: 6038, Task: 84, Done
11/06/2018 05:19:01 pm - IMG CRON - Image: 6041, Task: 86, Done
11/06/2018 05:19:01 pm - IMG CRON - Image: 6040, Task: 85, Fail, 0
11/06/2018 05:36:50 pm - IMG CRON - Image: 6045, Task: 88, Done
11/06/2018 05:37:00 pm - IMG CRON - Image: 6043, Task: 87, Done
11/06/2018 06:17:05 pm - IMG CRON - Image: 6047, Task: 89, Done
11/06/2018 09:02:12 pm - IMG CRON - Image: 6066, Task: 90, Done
12/06/2018 04:02:06 pm - IMG CRON - Image: 6070, Task: 91, Done
12/06/2018 04:41:47 pm - IMG CRON - Image: 6071, Task: 92, Done
13/06/2018 10:47:58 am - IMG CRON - Image: 6086, Task: 93, Done
13/06/2018 10:51:36 am - IMG CRON - Image: 6088, Task: 94, Done
13/06/2018 10:56:32 am - IMG CRON - Image: 6089, Task: 95, Done
16/07/2018 03:56:56 pm - IMG CRON - Image: 6101, Task: 96, Done
16/07/2018 04:01:39 pm - IMG CRON - Image: 6102, Task: 97, Done
16/07/2018 04:07:15 pm - IMG CRON - Image: 6104, Task: 99, Done
16/07/2018 04:07:15 pm - IMG CRON - Image: 6103, Task: 98, Done
16/07/2018 04:53:32 pm - IMG CRON - Image: 6106, Task: 100, Done
16/07/2018 05:13:38 pm - IMG CRON - Image: 6107, Task: 101, Done
16/07/2018 05:16:32 pm - IMG CRON - Image: 6108, Task: 102, Done
17/07/2018 01:31:42 pm - IMG CRON - Image: 6131, Task: 103, Done
18/07/2018 10:11:51 am - IMG CRON - Image: 6136, Task: 104, Done
18/07/2018 12:41:29 pm - IMG CRON - Image: 6153, Task: 105, Done
18/07/2018 12:48:04 pm - IMG CRON - Image: 6156, Task: 106, Done
18/07/2018 11:16:21 pm - IMG CRON - Image: 6163, Task: 107, Done
19/07/2018 09:31:39 am - IMG CRON - Image: 6183, Task: 108, Done
19/07/2018 09:57:14 am - IMG CRON - Image: 6185, Task: 109, Done
